波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
int,float,int,int,int,int,int
1,1.8,0,0,3,2,8
2,4,0,0,4,1,3
3,6,0,0,1,1,3
4,8,0,0,3,3,8
5,12,0,0,10,2,2
6,13.5,2,1,1,1,3
7,15.4,0,0,3,1,9
8,17,0,0,10,2,2
9,20,0,0,2,1,2
10,21,0,0,3,3,8
11,22,2,1,4,1,3
12,25,0,0,3,1,9
13,27,0,0,1,1,4
14,30,0,0,3,2,8
15,32,0,0,3,1,7
16,33,0,0,1,1,4
17,35,0,0,10,1,2
18,36,0,0,3,3,8
19,36.5,0,0,2,1,2
20,37,0,0,4,1,3
22,40,0,0,3,1,10
24,41,0,0,3,3,8
26,42,0,0,10,1,2
27,45,0,0,2,1,2
