波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
int,float,int,int,int,int,int
1,1,0,0,2,1,2
2,3.5,0,0,5,1,2
3,6,0,0,3,3,12
4,8,0,0,10,2,4
5,12,0,0,1,1,4
6,13.5,0,0,4,1,5
7,15.4,4,1,3,1,14
8,17,0,0,10,2,4
9,20,0,0,2,1,2
10,21,0,0,5,1,2
11,22,0,0,3,3,12
12,25,0,0,1,1,5
13,27,0,0,3,2,12
14,30,0,0,10,1,5
15,32,0,0,1,1,5
16,33,4,1,4,1,5
17,35,0,0,5,1,2
18,36,0,0,3,1,13
19,36.5,0,0,3,3,12
20,37,0,0,2,1,2
22,40,0,0,8,1,2
24,45,9,1,0,0,0
