波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
int,float,int,int,int,int,int
1,1.5,0,0,4,1,4
2,5,0,0,10,1,5
3,8,0,0,5,1,2
4,12,0,0,1,1,5
5,13.5,0,0,3,1,12
6,15.4,3,1,3,2,12
7,17,0,0,5,1,2
8,20,0,0,10,1,2
9,21,0,0,2,1,2
10,22,0,0,3,1,14
11,25,0,0,3,2,12
12,27,0,0,10,1,2
13,30,0,0,4,1,4
14,32,0,0,3,2,12
15,33,3,1,1,1,5
16,34,0,0,3,1,14
17,35,0,0,3,2,12
18,35.5,0,0,5,1,2
19,37.3,0,0,2,1,2
20,40,8,1,7,1,2
22,41,9,1,0,0,0
