波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
int,float,int,int,int,int,int
1,1.3,0,0,3,1,18
2,4,0,0,1,1,4
3,7,0,0,3,1,16
4,10,0,0,2,1,2
5,12,0,0,10,1,4
6,13.4,0,0,4,1,5
7,16,0,0,1,1,4
8,17.8,0,0,3,1,17
9,18.5,0,0,3,2,16
10,21,4,1,2,1,2
11,23,0,0,10,1,4
12,24,0,0,4,1,5
13,25,0,0,3,1,18
14,25.8,0,0,2,1,2
15,28,0,0,3,3,16
16,30,0,0,10,2,4
17,31,0,0,1,1,4
18,31.5,0,0,4,1,5
19,33,0,0,3,2,16
20,35,8,1,3,1,17
22,36.2,0,0,2,1,2
24,38,0,0,3,1,18
26,40,0,0,2,1,3
27,42,0,0,3,3,16
28,43,0,0,10,2,4
29,46,0,0,2,1,3
