波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
1,1.5,0,0,10,1,4
2,6,0,0,3,3,8
3,9,5,1,1,1,3
4,12,0,0,3,1,9
5,15.4,0,0,4,1,4
6,17,0,0,1,1,3
7,19,0,0,3,3,8
8,21,5,1,10,1,4
9,22,0,0,2,1,2
10,25,0,0,3,2,8
11,27,0,0,10,1,4
12,30,0,0,1,1,3
13,32,0,0,3,1,7
14,33,0,0,3,3,9
15,35,0,0,4,1,4
16,36,0,0,1,1,3
17,37,0,0,10,1,4
18,40,0,0,1,1,3
19,41,6,1,3,1,9
20,42,0,0,3,3,8
22,44,0,0,2,1,2
