波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
1,1,0,0,1,1,4
2,3,0,0,5,1,2
3,5,0,0,1,1,4
4,7.5,0,0,3,1,15
5,8,0,0,3,1,14
6,10,0,0,1,1,4
7,11,2,1,10,1,5
8,12,0,0,4,1,5
9,12.7,0,0,5,1,2
10,13.4,0,0,3,1,13
11,15,0,0,1,1,4
12,16.2,0,0,3,1,12
13,16.8,0,0,3,1,15
14,17.5,2,1,10,1,5
15,19,0,0,1,1,4
16,20,0,0,4,1,4
17,21,0,0,10,1,5
18,21.5,0,0,3,1,15
19,22,0,0,3,1,13
20,25,0,0,9,1,1
22,28,9,1,0,0,0
24,30,7,1,0,0,0
