波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
1,1.8,0,0,5,1,1
2,5,0,0,3,2,8
3,8,0,0,1,1,3
4,11,2,1,3,1,11
5,13.4,0,0,5,1,1
6,16,0,0,3,2,8
7,18,0,0,4,1,4
8,21,2,1,3,1,9
9,22,0,0,1,1,3
10,25,0,0,3,3,8
11,27,0,0,10,2,4
12,30,0,0,5,1,1
13,32,0,0,1,1,3
14,33,0,0,3,1,11
15,35,0,0,3,1,8
16,36,0,0,3,1,10
17,37,0,0,10,2,4
18,39,0,0,1,1,3
19,40,6,1,3,1,8
20,41,0,0,3,1,11
22,43,0,0,10,1,4
23,45,0,0,2,1,2
