波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
1,1.8,0,0,10,1,5
2,4,0,0,5,1,2
3,6,0,0,2,1,2
4,8,4,1,3,3,16
5,11,0,0,4,1,4
6,13.5,0,0,1,1,5
7,15.4,0,0,10,2,5
8,17,0,0,3,1,18
9,20,3,1,2,1,2
10,21,0,0,3,3,16
11,22,0,0,5,1,2
12,23,0,0,10,1,5
13,25,0,0,1,1,5
14,28,0,0,4,1,4
15,30,4,1,3,1,18
16,33,0,0,1,1,5
17,35,0,0,3,3,16
18,36,8,1,10,1,2
19,36.5,0,0,3,1,17
20,37,0,0,2,1,2
22,40,0,0,3,3,16
24,41,3,1,3,1,18
26,42,0,0,5,1,2
27,45,0,0,1,1,5
28,47,4,1,3,3,16
29,50,0,0,7,1,5
30,58,9,1,0,0,0
