波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
int,float,int,int,int,int,int
1,1,0,0,4,1,4
2,3,0,0,10,1,5
3,5,0,0,5,1,2
4,8,0,0,1,1,5
5,10.5,0,0,3,1,14
6,11.4,0,0,3,2,12
7,14,4,1,1,1,5
8,16,0,0,10,2,2
9,18,0,0,2,1,2
10,20,0,0,3,1,15
11,21,0,0,5,1,2
12,22,4,1,3,1,13
13,23,0,0,4,1,4
14,24,0,0,10,1,2
15,26,0,0,1,1,5
16,28,0,0,3,1,15
17,30,0,0,1,1,5
18,31.5,0,0,3,1,15
19,33,0,0,3,1,13
20,35,8,1,7,1,2
