波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
1,1.3,0,0,3,2,12
2,3,0,0,5,1,2
3,4,0,0,1,1,5
4,7,0,0,10,2,2
5,10,0,0,2,1,2
6,12,0,0,3,1,14
7,13.4,0,0,3,3,12
8,16,4,1,1,1,5
9,17.8,0,0,10,2,2
10,18.5,0,0,3,3,12
11,21,0,0,1,1,5
12,23,0,0,5,1,2
13,24,0,0,4,1,4
14,25,0,0,1,1,5
15,25.8,0,0,3,4,12
16,28,0,0,3,1,14
17,30,0,0,2,1,2
18,31,4,1,10,2,2
19,31.5,0,0,4,1,4
20,33,0,0,3,1,13
22,35,0,0,2,1,2
23,37,0,0,3,3,12
24,39,0,0,2,1,3
