波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
int,float,int,int,int,int,int
1,1,4,1,1,1,4
2,3,0,0,3,1,10
3,3.5,0,0,3,2,8
4,4,0,0,4,1,4
5,5.5,0,0,10,1,2
6,8,0,0,1,1,4
7,10,6,1,3,2,8
8,10.7,0,0,3,1,10
9,11.3,0,0,3,2,8
10,14,4,1,2,1,2
11,15,0,0,10,1,2
12,16,0,0,4,1,4
13,17,0,0,3,3,8
14,18.5,0,0,3,1,10
15,19.3,6,1,3,1,7
16,21,0,0,1,1,4
17,22,0,0,3,2,8
18,23,0,0,3,1,8
19,25,0,0,5,1,2
20,26,0,0,3,1,10
22,26.7,0,0,3,2,8
24,28,0,0,10,1,2
26,30,0,0,2,1,2
