波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
1,1.2,0,0,4,1,4
2,3,0,0,2,1,2
3,5,0,0,1,1,3
4,8,0,0,10,1,2
5,12,5,1,3,3,8
6,13.5,0,0,1,1,3
7,15.4,0,0,4,1,4
8,17,0,0,10,1,2
9,20,0,0,3,3,8
10,21,0,0,2,1,2
11,22,0,0,4,1,4
12,25,0,0,3,1,9
13,26,0,0,10,1,2
14,27,0,0,1,1,3
15,28,0,0,3,1,7
16,30,0,0,3,2,8
17,32,5,1,2,1,2
18,34,0,0,10,1,2
19,35,0,0,3,3,8
20,37,9,1,1,1,3
21,40,0,0,10,1,2
22,43,0,0,3,2,8
23,45,0,0,2,1,2
