波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
int,float,int,int,int,int,int
1,1,4,1,3,1,10
2,2,0,0,3,2,8
3,3,0,0,10,1,4
4,5,0,0,1,1,3
5,7.5,0,0,3,1,10
6,8,0,0,10,1,4
7,10,6,1,1,1,3
8,11,0,0,4,1,4
9,11.7,0,0,3,1,10
10,12.4,4,1,3,3,8
11,15,0,0,1,1,4
12,15.8,0,0,3,2,8
13,16.7,0,0,3,1,10
14,17.5,0,0,10,1,4
15,18.3,6,1,4,1,4
16,19,0,0,3,2,8
17,20,0,0,3,1,10
18,23,0,0,1,1,4
