波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
1,1,2,1,5,1,1
2,3,0,0,3,1,8
3,5,0,0,1,1,3
4,6.8,0,0,3,1,11
5,7.5,0,0,5,1,1
6,8,0,0,3,1,8
7,9,0,0,4,1,4
8,10,2,1,3,1,9
9,12.5,0,0,1,1,3
10,13.4,0,0,3,3,8
11,14.5,0,0,10,1,4
12,16,0,0,5,1,1
13,18,0,0,1,1,3
14,18.7,6,1,3,1,11
15,19.5,0,0,3,1,8
16,19,0,0,3,1,10
17,20,0,0,10,1,4
18,23,0,0,1,1,3
19,24,6,1,3,1,8
20,25,0,0,3,1,11
22,26,0,0,10,1,4
