波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
1,1,0,0,5,1,2
2,3,0,0,3,1,15
3,4,0,0,3,2,12
4,5,0,0,4,1,4
5,6.5,4,1,10,1,5
6,8,0,0,3,2,12
7,10,8,1,1,1,5
8,10.7,0,0,3,1,12
9,11.3,0,0,3,2,12
10,14,0,0,5,1,2
11,15,0,0,10,1,2
12,16,0,0,4,1,4
13,17,0,0,3,1,15
14,18.5,0,0,3,2,12
15,19.3,4,1,1,1,5
16,21,0,0,10,1,2
17,22,0,0,3,2,12
18,23,0,0,3,1,13
19,25,0,0,5,1,2
20,26,8,1,3,2,12
22,26.7,0,0,3,1,15
24,28,0,0,10,1,2
26,30,0,0,2,1,3
