波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
int,float,int,int,int,int,int
1,1.5,0,0,3,2,8
2,4,0,0,1,1,4
3,6,0,0,3,1,11
4,7,0,0,3,3,8
5,8,4,1,10,2,4
6,12,0,0,2,1,2
7,13.5,0,0,3,2,8
8,15.4,0,0,4,1,4
9,17,0,0,1,1,4
10,20,4,1,3,3,8
11,21,0,0,3,1,7
12,22,0,0,10,2,4
13,25,0,0,1,1,4
14,27,0,0,4,1,4
15,30,0,0,3,1,11
16,32,0,0,2,1,2
17,33,0,0,3,3,8
18,35,0,0,3,1,10
19,36,9,1,10,2,4
20,36.5,0,0,1,1,3
22,37,0,0,3,3,8
23,42,0,0,3,1,11
24,45,0,0,2,1,3
