波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
int,float,int,int,int,int,int
1,1.5,0,0,1,1,4
2,6,0,0,3,2,12
3,10,0,0,5,1,2
4,12,0,0,1,1,4
5,13.5,0,0,3,2,12
6,15.4,5,1,4,1,4
7,17,0,0,1,1,4
8,20,0,0,3,1,13
9,21,0,0,3,3,12
10,22,0,0,5,1,2
11,23,0,0,1,1,4
12,25,0,0,3,1,14
13,27,0,0,3,2,12
14,30,0,0,1,1,5
15,32,0,0,4,1,4
16,33,0,0,10,1,2
17,35,0,0,2,1,2
18,36,0,0,3,1,13
19,36.5,0,0,3,1,14
20,37,0,0,4,1,4
21,40,0,0,2,1,3
