波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
int,float,int,int,int,int,int
1,1.5,0,0,2,1,2
2,6,0,0,5,1,2
3,10,0,0,3,2,12
4,12,0,0,10,1,2
5,13.5,0,0,1,1,5
6,15.4,5,1,4,1,4
7,17,0,0,3,2,12
8,20,0,0,1,1,5
9,21,0,0,3,4,12
10,22,0,0,3,1,14
11,25,0,0,5,1,2
12,27,0,0,3,2,12
13,30,0,0,1,1,5
14,32,0,0,4,1,4
15,33,0,0,10,1,2
16,35,0,0,2,1,2
17,36,0,0,3,1,13
18,36.5,0,0,3,1,14
19,37,0,0,1,1,5
20,40,0,0,5,1,2
22,42,0,0,3,2,12
23,43,0,0,10,2,2
24,45,0,0,2,1,2
25,47,0,0,3,1,14
26,50,0,0,7,1,3
27,55,9,1,0,0,0
