波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
1,1.3,0,0,1,1,4
2,4,0,0,3,1,14
3,7,0,0,3,2,12
4,10,0,0,1,1,4
5,12,0,0,10,1,5
6,13.4,3,1,3,2,12
7,16,0,0,2,1,2
8,17.8,0,0,3,1,13
9,18.5,0,0,3,2,12
10,21,0,0,2,1,2
11,23,0,0,10,1,2
12,24,0,0,1,1,5
13,25,0,0,3,1,14
14,25.8,0,0,3,2,12
15,28,3,1,2,1,2
16,30,0,0,10,1,2
17,31,0,0,3,2,12
18,31.5,0,0,3,1,13
19,33,0,0,2,1,2
20,35,8,1,3,2,12
22,36.2,0,0,3,1,14
24,39,0,0,2,1,3
