波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
1,1.8,0,0,2,1,2
2,4,0,0,3,3,16
3,6,0,0,1,1,3
4,8,0,0,10,2,3
5,12,0,0,1,1,3
6,13.5,0,0,3,3,16
7,15.4,0,0,1,1,3
8,17,2,1,4,1,3
9,20,0,0,10,1,3
10,21,0,0,1,1,4
11,22,0,0,4,1,3
12,25,0,0,3,1,18
13,27,0,0,3,1,16
14,30,0,0,1,1,4
15,32,0,0,3,1,17
16,33,0,0,4,1,3
17,35,0,0,10,1,3
18,36,2,1,2,1,2
19,36.5,0,0,3,3,16
20,37,0,0,4,1,3
22,40,0,0,1,1,5
24,41,8,1,10,2,3
26,42,0,0,1,1,5
27,43,0,0,3,3,16
28,45,0,0,2,1,3
