波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
1,1.3,0,0,1,1,3
2,5,0,0,3,3,12
3,7,0,0,4,1,3
4,9,0,0,2,1,2
5,12,0,0,3,2,12
6,15.4,0,0,10,2,2
7,17,0,0,1,1,4
8,19,3,1,4,1,3
9,21,0,0,1,1,4
10,22,0,0,3,3,12
11,25,0,0,4,1,3
12,27,0,0,1,1,4
13,30,0,0,3,1,14
14,32,0,0,3,2,12
15,33,0,0,2,1,2
16,35,3,1,3,1,13
17,36,0,0,10,2,2
18,37,0,0,3,2,12
19,40,0,0,1,1,4
20,42,0,0,3,1,13
21,45,0,0,2,1,2
