波次顺序,波次时间,地图生成道具类型1普通刀刃2冰冻技能3火球技能4瘴气技能5闪电技能6狂暴7大宝剑8飞毛腿9爱心,道具数量,敌人类型1洋葱头2骑士3角斗士4大乌龟5冰魔导士7ironBoss8axeBoss9bladeBoss,敌人数量,敌人等级
id,time,propType,propNum,enemyType,enemyNum,enemyLevel
1,1.7,0,0,5,1,5
2,5,0,0,2,1,3
3,8,0,0,10,1,4
4,12,0,0,1,1,5
5,13.5,0,0,3,3,21
6,15.4,0,0,3,1,24
7,17,0,0,2,1,3
8,20,0,0,4,1,5
9,22,0,0,10,1,4
10,23,0,0,5,1,5
11,24,4,1,3,1,24
12,26,0,0,2,1,3
13,28,0,0,3,2,23
14,30,0,0,10,1,4
15,33,0,0,4,1,5
16,35,0,0,1,1,5
17,36,0,0,3,3,21
18,36.5,0,0,3,1,22
19,37,0,0,10,2,4
20,40,3,1,1,1,5
22,41,0,0,3,1,24
24,42,0,0,5,1,5
26,45,0,0,2,1,5
27,47,4,1,3,1,22
28,48,0,0,3,3,21
29,50,0,0,8,1,5
30,51,9,1,0,0,0
31,53,7,1,0,0,0
